soil_moisture,humidity,temperature,crop_type,irrigation_needed,water_required
50.0,41.4,41.2,wheat,0,0.0
36.5,56.5,23.8,wheat,0,0.0
13.2,98.7,33.6,rice,1,53.6
30.9,33.6,26.5,wheat,0,0.0
35.6,84.6,29.6,cotton,0,0.0
35.0,63.9,21.9,soybean,0,0.0
27.6,53.8,29.7,wheat,0,4.7
22.1,51.1,44.3,rice,1,35.9
23.5,36.1,29.5,corn,1,23.0
52.3,91.9,23.5,rice,0,0.0
52.8,93.1,15.6,rice,0,0.0
46.9,78.7,25.5,corn,0,0.0
27.7,29.9,35.3,rice,1,24.6
57.0,41.7,43.3,wheat,0,0.0
15.8,82.7,29.7,soybean,1,32.4
15.2,53.7,37.5,cotton,1,25.6
35.5,54.6,20.3,cotton,0,0.0
52.7,37.7,37.6,soybean,0,0.0
18.3,82.5,40.2,rice,1,43.4
10.9,44.6,27.9,corn,1,48.3
52.5,31.0,26.3,soybean,0,0.0
16.9,34.0,31.1,corn,1,36.1
12.1,25.4,16.6,cotton,1,31.8
10.5,34.8,29.1,corn,1,49.1
22.5,56.7,26.7,rice,1,34.9
38.5,39.2,15.2,rice,0,3.0
57.1,75.6,33.3,soybean,0,0.0
17.7,90.5,24.2,soybean,1,28.6
47.3,37.5,15.2,rice,0,0.0
19.9,93.6,25.0,cotton,1,16.2
43.0,53.3,22.8,soybean,0,0.0
37.6,58.9,34.6,wheat,0,0.0
16.2,59.2,35.9,corn,1,37.7
32.1,84.1,27.8,wheat,0,0.0
54.6,84.5,41.8,soybean,0,0.0
26.5,33.1,19.4,cotton,0,2.9
21.9,98.7,17.1,rice,1,36.2
11.0,23.7,38.1,corn,1,48.0
13.2,30.1,32.2,cotton,1,29.6
50.4,92.9,21.2,cotton,0,0.0
18.9,41.4,42.4,wheat,1,22.2
21.4,90.0,25.3,corn,1,27.3
44.5,68.0,39.3,soybean,0,0.0
40.6,53.4,41.2,cotton,0,0.0
51.9,44.2,41.2,wheat,0,0.0
34.5,61.9,32.3,rice,1,11.0
47.1,45.1,36.9,wheat,0,0.0
29.0,20.2,44.2,rice,1,22.0
26.8,82.4,18.7,soybean,1,10.5
30.2,90.8,24.8,rice,1,19.7
10.1,42.2,43.2,corn,1,49.8
39.4,38.3,42.4,soybean,0,0.0
13.3,96.8,19.9,rice,1,53.4
47.1,45.2,15.1,corn,0,0.0
35.0,70.2,19.1,wheat,0,0.0
16.1,27.1,35.4,soybean,1,31.7
21.5,43.9,15.2,wheat,1,17.0
19.7,96.1,28.1,soybean,1,24.6
53.0,48.7,28.8,rice,0,0.0
28.9,97.9,31.5,cotton,0,0.0
25.6,53.2,17.5,soybean,1,12.8
35.6,87.2,22.0,corn,0,0.0
47.9,92.8,27.2,cotton,0,0.0
45.6,45.7,26.9,wheat,0,0.0
44.0,29.7,19.0,corn,0,0.0
38.6,20.1,29.6,corn,0,0.0
10.6,86.5,35.6,cotton,1,34.8
27.1,92.2,28.0,rice,1,25.9
52.2,42.0,23.0,corn,0,0.0
59.3,56.1,18.8,rice,0,0.0
41.3,53.6,33.4,cotton,0,0.0
25.7,20.3,28.4,corn,1,18.7
21.1,99.6,44.2,wheat,1,17.8
38.9,37.1,29.8,corn,0,0.0
22.2,75.8,38.4,rice,1,35.5
19.6,42.0,25.6,corn,1,30.8
44.8,60.3,43.1,corn,0,0.0
34.5,28.1,44.3,soybean,0,0.0
46.6,73.7,44.9,soybean,0,0.0
45.9,97.8,38.6,rice,0,0.0
28.0,44.8,20.0,corn,1,14.1
46.6,51.1,28.7,soybean,0,0.0
25.7,69.4,31.0,wheat,0,8.6
46.7,68.5,35.8,wheat,0,0.0
56.0,54.2,15.7,cotton,0,0.0
13.8,46.0,18.4,corn,1,42.4
53.0,54.4,23.7,corn,0,0.0
52.8,88.4,36.9,cotton,0,0.0
27.9,71.5,34.9,rice,1,24.3
55.2,40.0,38.0,corn,0,0.0
21.9,99.0,16.7,wheat,1,16.2
31.9,33.7,27.5,corn,0,6.2
26.8,73.0,35.0,wheat,0,6.5
32.3,94.8,34.4,corn,0,5.4
18.8,94.9,19.5,rice,1,42.5
26.8,89.4,30.8,rice,1,26.4
31.4,24.4,32.2,cotton,0,0.0
24.9,78.3,39.9,corn,1,20.3
55.4,72.1,29.2,cotton,0,0.0
32.1,37.8,31.9,wheat,0,0.0
34.2,50.8,27.9,cotton,0,0.0
52.7,22.1,20.9,corn,0,0.0
47.6,86.8,21.8,wheat,0,0.0
56.4,80.6,29.4,wheat,0,0.0
17.6,33.7,30.1,corn,1,34.8
48.9,91.7,15.3,corn,0,0.0
20.2,67.8,21.3,corn,1,29.7
50.7,55.9,23.0,wheat,0,0.0
29.6,21.9,16.4,soybean,0,4.8
56.4,59.0,25.1,cotton,0,0.0
36.9,99.7,26.4,rice,0,6.2
40.1,20.6,37.8,rice,0,0.0
48.5,29.7,22.0,soybean,0,0.0
59.1,64.6,30.7,corn,0,0.0
37.3,58.4,32.6,wheat,0,0.0
34.2,53.2,32.4,corn,1,1.6
24.6,87.6,36.9,rice,1,30.8
36.1,87.0,30.7,rice,0,7.8
11.3,56.3,30.9,rice,1,57.4
42.3,52.1,15.4,rice,0,0.0
58.0,20.7,23.0,rice,0,0.0
36.2,30.5,36.9,soybean,0,0.0
34.9,92.3,28.5,rice,1,10.1
37.6,71.6,33.9,soybean,0,0.0
17.5,56.3,25.6,wheat,1,24.9
50.3,92.8,29.8,rice,0,0.0
35.1,57.4,44.4,rice,1,9.8
13.2,87.0,18.4,corn,1,43.6
11.4,96.7,20.1,soybean,1,41.3
17.0,77.5,43.2,cotton,1,22.0
56.5,76.4,19.0,cotton,0,0.0
20.6,98.6,39.7,rice,1,38.8
42.5,56.1,21.9,soybean,0,0.0
28.5,44.4,40.0,cotton,0,0.0
56.4,81.3,29.5,cotton,0,0.0
45.3,55.4,32.6,corn,0,0.0
54.1,37.7,39.9,rice,0,0.0
33.3,25.5,34.1,corn,1,3.4
35.3,53.4,32.7,soybean,0,0.0
54.1,88.5,37.6,wheat,0,0.0
15.4,30.4,21.4,wheat,1,29.3
30.2,62.0,15.2,rice,1,19.7
16.2,87.9,28.7,soybean,1,31.6
11.5,98.7,30.7,corn,1,47.0
25.8,50.0,21.7,corn,1,18.4
32.4,38.0,36.8,wheat,0,0.0
50.3,92.5,41.3,wheat,0,0.0
18.8,57.2,29.7,corn,1,32.3
40.5,23.9,38.8,cotton,0,0.0
50.9,58.6,23.6,rice,0,0.0
29.6,35.7,40.8,rice,1,20.8
60.0,88.3,18.5,cotton,0,0.0
31.2,49.4,31.9,corn,1,7.5
39.4,48.8,33.7,wheat,0,0.0
57.6,40.0,17.8,rice,0,0.0
57.5,67.7,36.3,soybean,0,0.0
44.6,53.0,20.8,rice,0,0.0
54.3,45.2,21.0,wheat,0,0.0
28.0,45.5,28.7,soybean,0,8.0
36.9,49.2,40.9,rice,1,6.2
32.9,32.4,29.6,wheat,0,0.0
50.3,95.6,31.0,wheat,0,0.0
31.3,45.2,36.7,cotton,0,0.0
19.1,98.3,31.3,soybean,1,25.8
20.2,55.0,41.5,rice,1,39.6
47.0,74.4,38.6,soybean,0,0.0
59.2,80.5,26.5,cotton,0,0.0
59.4,24.1,43.8,soybean,0,0.0
15.2,91.8,21.8,wheat,1,29.6
14.8,89.7,33.3,rice,1,50.5
59.4,50.6,33.4,cotton,0,0.0
47.4,54.5,38.0,wheat,0,0.0
13.7,50.6,32.4,cotton,1,28.6
57.5,76.5,20.1,wheat,0,0.0
29.8,71.3,32.7,rice,1,20.3
36.0,95.1,25.2,wheat,0,0.0
21.3,36.4,40.8,rice,1,37.4
27.1,43.8,44.7,wheat,1,5.8
35.2,85.1,22.5,cotton,0,0.0
40.8,43.7,42.6,cotton,0,0.0
51.1,98.1,40.5,soybean,0,0.0
21.1,77.9,26.7,cotton,1,13.8
59.2,97.5,43.8,soybean,0,0.0
39.7,45.5,19.4,soybean,0,0.0
37.3,99.7,30.5,cotton,0,0.0
51.3,36.7,43.3,soybean,0,0.0
34.6,48.4,26.9,corn,0,0.8
28.0,89.9,29.7,corn,1,13.9
17.8,90.2,18.1,cotton,1,20.3
47.5,90.4,38.3,soybean,0,0.0
53.2,45.3,42.4,cotton,0,0.0
11.3,29.9,44.4,cotton,1,33.5
39.5,67.5,19.9,wheat,0,0.0
57.0,81.9,29.9,cotton,0,0.0
50.3,35.6,30.2,wheat,0,0.0
49.7,56.0,35.8,corn,0,0.0
52.6,82.3,34.4,corn,0,0.0
45.9,57.9,36.3,corn,0,0.0
35.8,32.9,30.5,soybean,0,0.0
53.6,68.0,23.8,corn,0,0.0
57.6,61.6,23.1,cotton,0,0.0
50.5,64.4,35.9,corn,0,0.0
38.3,61.9,43.9,soybean,0,0.0
56.0,57.2,39.3,wheat,0,0.0
56.1,32.6,32.3,cotton,0,0.0
13.7,50.5,41.8,rice,1,52.5
52.5,87.7,20.8,corn,0,0.0
10.8,60.4,33.7,corn,1,48.3
13.7,49.5,18.2,wheat,1,32.6
20.6,56.0,31.2,rice,1,38.8
57.4,33.8,38.5,soybean,0,0.0
32.3,37.3,36.8,rice,1,15.5
22.7,26.4,36.8,wheat,1,14.5
36.3,31.4,21.0,rice,0,7.3
23.7,66.3,38.6,cotton,0,8.6
28.9,91.2,36.3,cotton,0,0.0
42.8,76.1,18.2,cotton,0,0.0
23.3,44.9,44.1,corn,1,23.4
52.5,24.9,27.1,wheat,0,0.0
50.8,67.6,24.7,corn,0,0.0
48.2,50.3,26.5,rice,0,0.0
20.4,47.2,23.1,rice,1,39.1
27.3,45.2,15.3,cotton,0,1.3
59.2,38.4,21.9,cotton,0,0.0
37.0,99.5,25.3,cotton,0,0.0
60.0,91.9,22.2,corn,0,0.0
59.9,95.6,21.5,rice,0,0.0
33.0,75.7,15.1,soybean,0,0.0
53.2,83.9,44.0,wheat,0,0.0
56.1,29.6,34.8,corn,0,0.0
26.4,55.6,41.0,corn,1,17.3
33.2,84.0,15.4,cotton,0,0.0
47.3,72.5,25.5,rice,0,0.0
57.9,64.9,25.4,corn,0,0.0
16.0,42.7,38.1,wheat,1,28.0
23.6,73.9,29.9,corn,1,22.8
55.6,33.2,15.9,rice,0,0.0
35.7,81.6,44.7,corn,0,0.0
59.1,37.3,35.1,corn,0,0.0
31.8,47.3,21.3,cotton,0,0.0
27.4,60.2,19.2,cotton,0,1.1
54.9,87.5,42.4,wheat,0,0.0
19.4,90.8,35.7,cotton,1,17.1
14.5,25.1,26.1,corn,1,41.0
28.1,32.2,44.0,cotton,0,0.0
14.4,25.7,33.0,rice,1,51.1
47.1,39.1,24.3,soybean,0,0.0
26.7,86.7,26.1,soybean,1,10.6
37.0,95.9,25.1,cotton,0,0.0
43.6,82.6,25.4,corn,0,0.0
43.2,64.5,23.4,cotton,0,0.0
42.1,49.9,39.5,soybean,0,0.0
34.9,83.9,34.2,cotton,0,0.0
35.1,42.3,21.4,corn,0,0.0
38.7,99.7,31.5,wheat,0,0.0
50.7,40.8,39.3,rice,0,0.0
11.6,73.2,25.1,wheat,1,36.8
21.2,35.1,44.4,wheat,1,17.6
